     , mean    , sd     , hdi_3% , hdi_97% , mcse_mean, mcse_sd, ess_bulk, ess_tail, r_hat
tau  , 1331.868, 293.245, 814.632, 1913.957,     5.834,   6.31 ,   3146.0,   1278.0,   1.0
mu1  , -0.001  ,   0.001, -0.002 ,    0.001,     0.0  ,   0.0  ,   6728.0,   6695.0,   1.0
mu2  , 0.0     ,   0.001, -0.001 ,    0.002,     0.0  ,   0.0  ,   4001.0,   2292.0,   1.0
k    , 4.911   ,   4.884, 0.004  ,   13.831,     0.045,   0.067,   6712.0,   3807.0,   1.0
sigma, 0.03    ,   0.0  , 0.029  ,    0.03 ,     0.0  ,   0.0  ,   8708.0,   7606.0,   1.0
